id,type,genres,average_rating,num_votes
3740,tvMiniSeries,"Adventure,Comedy",8.2,1820
3741,short,"Documentary,Short,War",6.6,2069
3742,movie,Comedy,6.7,82
3743,movie,"Action,Drama,War",6.3,20178
3744,movie,Drama,6.8,3185
3745,movie,Comedy,5.2,15092
3746,movie,"Drama,Musical,Romance",7.5,1586
3747,movie,"Biography,Comedy,Drama",7.7,48097
3748,movie,"Comedy,Crime,Drama",2.8,241
3749,movie,"Family,Fantasy",3.1,730
3750,movie,"Comedy,Family,Romance",5.0,1003
3751,movie,"Animation,Comedy",6.4,407
3752,movie,"Action,Crime,Drama",3.8,812
3753,tvMovie,Comedy,4.7,41
3754,movie,"Adventure,Drama,Mystery",5.9,2478
3755,tvSpecial,Comedy,5.5,1518
3756,tvMovie,"Drama,History,War",6.7,2367
3757,movie,"Adventure,Comedy",5.3,542
3758,movie,Drama,7.2,37
3759,movie,"Action,Drama",6.8,13888
3760,movie,Comedy,5.0,142
3761,movie,"Comedy,Family",5.3,217
3762,movie,"Drama,Family,Romance",5.5,16
3763,movie,"Documentary,Music",7.4,394
3764,movie,"Music,Musical",6.9,39
3765,movie,"Action,Fantasy,Sci-Fi",3.6,49
3766,movie,"Action,Comedy,Drama",7.2,3085
3767,movie,"Drama,Fantasy,Music",6.5,803
